Year,Units,Пол,Регионы,Местность,Образование,Брачное состояние,гражданство,Value
2012,на 1000 родившихся,мальчики и девочки,Южно-Казахстанская,,,,,9.575650132960462
2013,на 1000 родившихся,мальчики и девочки,Южно-Казахстанская,,,,,7.953254341827625
2014,на 1000 родившихся,мальчики и девочки,Южно-Казахстанская,,,,,6.550458044133253
2015,на 1000 родившихся,мальчики и девочки,Южно-Казахстанская,,,,,6.376286577977946
2016,на 1000 родившихся,мальчики и девочки,Южно-Казахстанская,,,,,5.9295816146140226
2017,на 1000 родившихся,мальчики и девочки,Южно-Казахстанская,,,,,5.051336262011167
2018,на 1000 родившихся,мальчики и девочки,Южно-Казахстанская,,,,,4.34
2010,на 1000 родившихся,мальчики и девочки,Павлодарская,,,,,9.260763606823721
2011,на 1000 родившихся,мальчики и девочки,Павлодарская,,,,,8.828996282527884
2012,на 1000 родившихся,мальчики и девочки,Павлодарская,,,,,6.527820951196767
2013,на 1000 родившихся,мальчики и девочки,Павлодарская,,,,,4.349484929416253
2014,на 1000 родившихся,мальчики и девочки,Павлодарская,,,,,4.524192929990033
2015,на 1000 родившихся,мальчики и девочки,Павлодарская,,,,,4.384934617492757
2016,на 1000 родившихся,мальчики и девочки,Павлодарская,,,,,4.360580353603425
2017,на 1000 родившихся,мальчики и девочки,Павлодарская,,,,,4.8232848232848236
2018,на 1000 родившихся,мальчики и девочки,Павлодарская,,,,,3.46
2010,на 1000 родившихся,мальчики и девочки,Северо-Казахстанская,,,,,8.714596949891071
2011,на 1000 родившихся,мальчики и девочки,Северо-Казахстанская,,,,,7.038190838813892
2012,на 1000 родившихся,мальчики и девочки,Северо-Казахстанская,,,,,7.10927645912166
2013,на 1000 родившихся,мальчики и девочки,Северо-Казахстанская,,,,,5.957247985048474
2014,на 1000 родившихся,мальчики и девочки,Северо-Казахстанская,,,,,5.111976630963973
2015,на 1000 родившихся,мальчики и девочки,Северо-Казахстанская,,,,,3.4431874077717657
2016,на 1000 родившихся,мальчики и девочки,Северо-Казахстанская,,,,,5.328827657915259
2017,на 1000 родившихся,мальчики и девочки,Северо-Казахстанская,,,,,5.414918099363747
2018,на 1000 родившихся,мальчики и девочки,Северо-Казахстанская,,,,,6.12
2010,на 1000 родившихся,мальчики и девочки,Восточно-Казахстанская,,,,,15.781435601561176
2011,на 1000 родившихся,мальчики и девочки,Восточно-Казахстанская,,,,,13.475208233395838
2012,на 1000 родившихся,мальчики и девочки,Восточно-Казахстанская,,,,,12.65768655120804
2013,на 1000 родившихся,мальчики и девочки,Восточно-Казахстанская,,,,,9.331872946330778
2014,на 1000 родившихся,мальчики и девочки,Восточно-Казахстанская,,,,,7.7552052600522625
2015,на 1000 родившихся,мальчики и девочки,Восточно-Казахстанская,,,,,6.377773894810415
2016,на 1000 родившихся,мальчики и девочки,Восточно-Казахстанская,,,,,5.846932542106641
2017,на 1000 родившихся,мальчики и девочки,Восточно-Казахстанская,,,,,4.60205739036275
2018,на 1000 родившихся,мальчики и девочки,Восточно-Казахстанская,,,,,4.94
2010,на 1000 родившихся,мальчики и девочки,г.Нур-Султан,,,,,7.321994811184778
2011,на 1000 родившихся,мальчики и девочки,г.Нур-Султан,,,,,7.052896725440807
2012,на 1000 родившихся,мальчики и девочки,г.Нур-Султан,,,,,6.987617530699277
2013,на 1000 родившихся,мальчики и девочки,г.Нур-Султан,,,,,5.343441724515894
2014,на 1000 родившихся,мальчики и девочки,г.Нур-Султан,,,,,4.027904659081472
2015,на 1000 родившихся,мальчики и девочки,г.Нур-Султан,,,,,4.515190939006658
2016,на 1000 родившихся,мальчики и девочки,г.Нур-Султан,,,,,3.627222122463638
2017,на 1000 родившихся,мальчики и девочки,г.Нур-Султан,,,,,3.430471070872825
2018,на 1000 родившихся,мальчики и девочки,г.Нур-Султан,,,,,3.43
2010,на 1000 родившихся,мальчики и девочки,г.Алматы,,,,,13.902486782847074
2011,на 1000 родившихся,мальчики и девочки,г.Алматы,,,,,13.971025997221673
2012,на 1000 родившихся,мальчики и девочки,г.Алматы,,,,,9.76227736791117
2013,на 1000 родившихся,мальчики и девочки,г.Алматы,,,,,7.908901175350591
2014,на 1000 родившихся,мальчики и девочки,г.Алматы,,,,,6.0326233486114855
2015,на 1000 родившихся,мальчики и девочки,г.Алматы,,,,,6.2582239481369735
2016,на 1000 родившихся,мальчики и девочки,г.Алматы,,,,,5.20439061317184
2017,на 1000 родившихся,мальчики и девочки,г.Алматы,,,,,4.264392324093817
2018,на 1000 родившихся,мальчики и девочки,г.Алматы,,,,,5.74
2010,на 1000 родившихся,,Республика Казахстан,городское население,,,,12.345294459672733
2011,на 1000 родившихся,,Республика Казахстан,городское население,,,,10.994578710036988
2012,на 1000 родившихся,,Республика Казахстан,городское население,,,,9.5173417414504
2013,на 1000 родившихся,,Республика Казахстан,городское население,,,,7.622395323402567
2014,на 1000 родившихся,,Республика Казахстан,городское население,,,,6.3683405065052225
2015,на 1000 родившихся,,Республика Казахстан,городское население,,,,6.226528732374407
2016,на 1000 родившихся,,Республика Казахстан,городское население,,,,5.314911788134818
2017,на 1000 родившихся,,Республика Казахстан,городское население,,,,4.492014441451729
2018,на 1000 родившихся,,Республика Казахстан,городское население,,,,4.89
2010,на 1000 родившихся,,Акмолинская,городское население,,,,10.18573996405033
2011,на 1000 родившихся,,Акмолинская,городское население,,,,11.19177253478524
2012,на 1000 родившихся,,Акмолинская,городское население,,,,8.475793707800603
2013,на 1000 родившихся,,Акмолинская,городское население,,,,9.506833036244801
2014,на 1000 родившихся,,Акмолинская,городское население,,,,5.4733727810650885
2015,на 1000 родившихся,,Акмолинская,городское население,,,,5.632132799762857
2016,на 1000 родившихся,,Акмолинская,городское население,,,,4.4596402556860415
2017,на 1000 родившихся,,Акмолинская,городское население,,,,3.351104341203351
2018,на 1000 родившихся,,Акмолинская,городское население,,,,4.5
2010,на 1000 родившихся,,Актюбинская,городское население,,,,12.733446519524618
2011,на 1000 родившихся,,Актюбинская,городское население,,,,6.889242183359831
2012,на 1000 родившихся,,Актюбинская,городское население,,,,10.819560402112796
2013,на 1000 родившихся,,Актюбинская,городское население,,,,7.524331397726343
2014,на 1000 родившихся,,Актюбинская,городское население,,,,6.695212144803425
2015,на 1000 родившихся,,Актюбинская,городское население,,,,6.032727546942161
2016,на 1000 родившихся,,Актюбинская,городское население,,,,6.0938452163315056
2017,на 1000 родившихся,,Актюбинская,городское население,,,,3.9963110974485088
2018,на 1000 родившихся,,Актюбинская,городское население,,,,5.45
2010,на 1000 родившихся,,Алматинская,городское население,,,,11.720126894606981
2011,на 1000 родившихся,,Алматинская,городское население,,,,10.241017038933519
2012,на 1000 родившихся,,Алматинская,городское население,,,,8.548469823901522
2013,на 1000 родившихся,,Алматинская,городское население,,,,6.848743005094797
2014,на 1000 родившихся,,Алматинская,городское население,,,,4.832448704745306
2015,на 1000 родившихся,,Алматинская,городское население,,,,5.484174240050142
2016,на 1000 родившихся,,Алматинская,городское население,,,,5.400683027559369
2017,на 1000 родившихся,,Алматинская,городское население,,,,4.162412628602843
2018,на 1000 родившихся,,Алматинская,городское население,,,,4.0
2010,на 1000 родившихся,,Атырауская,городское население,,,,10.25772534940377
2011,на 1000 родившихся,,Атырауская,городское население,,,,11.31928181108509
2012,на 1000 родившихся,,Атырауская,городское население,,,,12.257026123560726
2013,на 1000 родившихся,,Атырауская,городское население,,,,6.306852637962401
2014,на 1000 родившихся,,Атырауская,городское население,,,,5.03190967108493
2015,на 1000 родившихся,,Атырауская,городское население,,,,4.999390318253871
2016,на 1000 родившихся,,Атырауская,городское население,,,,4.617871161394596
2017,на 1000 родившихся,,Атырауская,городское население,,,,4.246542101431691
2018,на 1000 родившихся,,Атырауская,городское население,,,,5.51
2010,на 1000 родившихся,,Западно-Казахстанская,городское население,,,,9.71634540040746
2011,на 1000 родившихся,,Западно-Казахстанская,городское население,,,,7.763975155279502
2012,на 1000 родившихся,,Западно-Казахстанская,городское население,,,,5.979291235234068
2013,на 1000 родившихся,,Западно-Казахстанская,городское население,,,,5.428571428571429
2014,на 1000 родившихся,,Западно-Казахстанская,городское население,,,,6.686046511627908
2015,на 1000 родившихся,,Западно-Казахстанская,городское население,,,,6.157811828726906
2016,на 1000 родившихся,,Западно-Казахстанская,городское население,,,,5.250403877221325
2017,на 1000 родившихся,,Западно-Казахстанская,городское население,,,,5.5548028722395335
2018,на 1000 родившихся,,Западно-Казахстанская,городское население,,,,3.81
2010,на 1000 родившихся,,Жамбылская,городское население,,,,12.209898406188836
2011,на 1000 родившихся,,Жамбылская,городское население,,,,12.126111560226354
2012,на 1000 родившихся,,Жамбылская,городское население,,,,8.970156977747111
2013,на 1000 родившихся,,Жамбылская,городское население,,,,13.869005010737295
2014,на 1000 родившихся,,Жамбылская,городское население,,,,10.763038151907596
2015,на 1000 родившихся,,Жамбылская,городское население,,,,10.494752623688157
2016,на 1000 родившихся,,Жамбылская,городское население,,,,7.250221043324492
2017,на 1000 родившихся,,Жамбылская,городское население,,,,5.6133247446397325
2018,на 1000 родившихся,,Жамбылская,городское население,,,,3.93
2010,на 1000 родившихся,,Карагандинская,городское население,,,,9.920526171553847
2011,на 1000 родившихся,,Карагандинская,городское население,,,,6.494866959983238
2012,на 1000 родившихся,,Карагандинская,городское население,,,,7.2783987522745
2013,на 1000 родившихся,,Карагандинская,городское население,,,,6.272949816401469
2014,на 1000 родившихся,,Карагандинская,городское население,,,,5.155420773313116
2015,на 1000 родившихся,,Карагандинская,городское население,,,,5.4804343372259785
2016,на 1000 родившихся,,Карагандинская,городское население,,,,5.29485049833887
2017,на 1000 родившихся,,Карагандинская,городское население,,,,4.904121666299316
2018,на 1000 родившихся,,Карагандинская,городское население,,,,5.21
2010,на 1000 родившихся,,Костанайская,городское население,,,,8.645533141210375
2011,на 1000 родившихся,,Костанайская,городское население,,,,8.79677948412107
2012,на 1000 родившихся,,Костанайская,городское население,,,,10.655964572377526
2013,на 1000 родившихся,,Костанайская,городское население,,,,6.886103842445944
2014,на 1000 родившихся,,Костанайская,городское население,,,,7.610993657505285
2015,на 1000 родившихся,,Костанайская,городское население,,,,8.24598183088749
2016,на 1000 родившихся,,Костанайская,городское население,,,,5.270655270655269
2017,на 1000 родившихся,,Костанайская,городское население,,,,6.633254716981133
2018,на 1000 родившихся,,Костанайская,городское население,,,,6.3
2010,на 1000 родившихся,,Кызылординская,городское население,,,,16.242073645566805
2011,на 1000 родившихся,,Кызылординская,городское население,,,,12.01558778956484
2012,на 1000 родившихся,,Кызылординская,городское население,,,,12.38919149845135
2013,на 1000 родившихся,,Кызылординская,городское население,,,,8.973080757726821
2014,на 1000 родившихся,,Кызылординская,городское население,,,,8.181045473863152
2015,на 1000 родившихся,,Кызылординская,городское население,,,,8.23045267489712
2016,на 1000 родившихся,,Кызылординская,городское население,,,,8.443386014288809
2017,на 1000 родившихся,,Кызылординская,городское население,,,,3.982741453700631
2018,на 1000 родившихся,,Кызылординская,городское население,,,,6.47
2010,на 1000 родившихся,,Мангистауская,городское население,,,,15.186756054179778
2011,на 1000 родившихся,,Мангистауская,городское население,,,,14.065050860228558
2012,на 1000 родившихся,,Мангистауская,городское население,,,,7.942417473318442
2013,на 1000 родившихся,,Мангистауская,городское население,,,,6.055066834228264
2014,на 1000 родившихся,,Мангистауская,городское население,,,,5.5398653052357165
2015,на 1000 родившихся,,Мангистауская,городское население,,,,4.537650233014472
2016,на 1000 родившихся,,Мангистауская,городское население,,,,5.70515746234596
2017,на 1000 родившихся,,Мангистауская,городское население,,,,3.8263911665026784
2018,на 1000 родившихся,,Мангистауская,городское население,,,,5.69
2010,на 1000 родившихся,,Южно-Казахстанская,городское население,,,,15.8311345646438
2011,на 1000 родившихся,,Южно-Казахстанская,городское население,,,,15.28765352294764
2012,на 1000 родившихся,,Южно-Казахстанская,городское население,,,,11.06305628682462
2013,на 1000 родившихся,,Южно-Казахстанская,городское население,,,,8.910037364672819
2014,на 1000 родившихся,,Южно-Казахстанская,городское население,,,,7.488232777064612
2015,на 1000 родившихся,,Южно-Казахстанская,городское население,,,,6.79139580360446
2016,на 1000 родившихся,,Южно-Казахстанская,городское население,,,,5.333402040605998
2017,на 1000 родившихся,,Южно-Казахстанская,городское население,,,,5.009072554882568
2018,на 1000 родившихся,,Южно-Казахстанская,городское население,,,,4.51
2010,на 1000 родившихся,,Павлодарская,городское население,,,,9.694619486185166
2011,на 1000 родившихся,,Павлодарская,городское население,,,,8.089679879810468
2012,на 1000 родившихся,,Павлодарская,городское население,,,,6.693896074427048
2013,на 1000 родившихся,,Павлодарская,городское население,,,,4.02729611813402
2014,на 1000 родившихся,,Павлодарская,городское население,,,,4.231625835189308
2015,на 1000 родившихся,,Павлодарская,городское население,,,,4.581005586592179
2016,на 1000 родившихся,,Павлодарская,городское население,,,,4.202635165833712
2017,на 1000 родившихся,,Павлодарская,городское население,,,,5.487295717523558
2018,на 1000 родившихся,,Павлодарская,городское население,,,,4.09
2010,на 1000 родившихся,,Северо-Казахстанская,городское население,,,,8.308764406325384
2011,на 1000 родившихся,,Северо-Казахстанская,городское население,,,,6.307490144546648
2012,на 1000 родившихся,,Северо-Казахстанская,городское население,,,,7.660878447395301
2013,на 1000 родившихся,,Северо-Казахстанская,городское население,,,,7.274616783580152
2014,на 1000 родившихся,,Северо-Казахстанская,городское население,,,,4.641567818463125
2015,на 1000 родившихся,,Северо-Казахстанская,городское население,,,,4.124774426398557
2016,на 1000 родившихся,,Северо-Казахстанская,городское население,,,,4.235044997353096
2017,на 1000 родившихся,,Северо-Казахстанская,городское население,,,,5.0604441945459655
2018,на 1000 родившихся,,Северо-Казахстанская,городское население,,,,7.01
2010,на 1000 родившихся,,Восточно-Казахстанская,городское население,,,,15.74264202600958
2011,на 1000 родившихся,,Восточно-Казахстанская,городское население,,,,13.366188769414576
2012,на 1000 родившихся,,Восточно-Казахстанская,городское население,,,,13.537906137184114
2013,на 1000 родившихся,,Восточно-Казахстанская,городское население,,,,9.23754707596106
2014,на 1000 родившихся,,Восточно-Казахстанская,городское население,,,,8.814485821660401
2015,на 1000 родившихся,,Восточно-Казахстанская,городское население,,,,7.526584725866593
2016,на 1000 родившихся,,Восточно-Казахстанская,городское население,,,,6.0725982532751095
2017,на 1000 родившихся,,Восточно-Казахстанская,городское население,,,,4.166372431325471
2018,на 1000 родившихся,,Восточно-Казахстанская,городское население,,,,5.63
2010,на 1000 родившихся,,г.Нур-Султан,городское население,,,,7.321994811184778
2011,на 1000 родившихся,,г.Нур-Султан,городское население,,,,7.052896725440807
2012,на 1000 родившихся,,г.Нур-Султан,городское население,,,,6.987617530699277
2013,на 1000 родившихся,,г.Нур-Султан,городское население,,,,5.343441724515894
2014,на 1000 родившихся,,г.Нур-Султан,городское население,,,,4.027904659081472
2015,на 1000 родившихся,,г.Нур-Султан,городское население,,,,4.515190939006658
2016,на 1000 родившихся,,г.Нур-Султан,городское население,,,,3.627222122463638
2017,на 1000 родившихся,,г.Нур-Султан,городское население,,,,3.430471070872825
2018,на 1000 родившихся,,г.Нур-Султан,городское население,,,,3.43
2010,на 1000 родившихся,,г.Алматы,городское население,,,,13.902486782847074
2011,на 1000 родившихся,,г.Алматы,городское население,,,,13.971025997221673
2012,на 1000 родившихся,,г.Алматы,городское население,,,,9.76227736791117
2013,на 1000 родившихся,,г.Алматы,городское население,,,,7.908901175350591
2014,на 1000 родившихся,,г.Алматы,городское население,,,,6.0326233486114855
2015,на 1000 родившихся,,г.Алматы,городское население,,,,6.2582239481369735
2016,на 1000 родившихся,,г.Алматы,городское население,,,,5.20439061317184
2017,на 1000 родившихся,,г.Алматы,городское население,,,,4.264392324093817
2018,на 1000 родившихся,,г.Алматы,городское население,,,,5.74
2010,на 1000 родившихся,,Республика Казахстан,сельское население,,,,10.612109685120773
2011,на 1000 родившихся,,Республика Казахстан,сельское население,,,,8.447410449463838
2012,на 1000 родившихся,,Республика Казахстан,сельское население,,,,8.44556950452278
2013,на 1000 родившихся,,Республика Казахстан,сельское население,,,,6.560860838913157
2014,на 1000 родившихся,,Республика Казахстан,сельское население,,,,5.275146185576356
2015,на 1000 родившихся,,Республика Казахстан,сельское население,,,,4.843153196890556
2016,на 1000 родившихся,,Республика Казахстан,сельское население,,,,4.942589917116568
2017,на 1000 родившихся,,Республика Казахстан,сельское население,,,,4.785362420830403
2018,на 1000 родившихся,,Республика Казахстан,сельское население,,,,4.13
2010,на 1000 родившихся,,Акмолинская,сельское население,,,,9.039740747057822
2011,на 1000 родившихся,,Акмолинская,сельское население,,,,8.741547088899884
2012,на 1000 родившихся,,Акмолинская,сельское население,,,,5.250154416306362
2013,на 1000 родившихся,,Акмолинская,сельское население,,,,6.530612244897959
2014,на 1000 родившихся,,Акмолинская,сельское население,,,,5.791825252358099
2015,на 1000 родившихся,,Акмолинская,сельское население,,,,2.6001040041601664
2016,на 1000 родившихся,,Акмолинская,сельское население,,,,3.29346507193621
2017,на 1000 родившихся,,Акмолинская,сельское население,,,,4.353883664228492
2018,на 1000 родившихся,,Акмолинская,сельское население,,,,2.17
2010,на 1000 родившихся,,Актюбинская,сельское население,,,,11.104350471554609
2011,на 1000 родившихся,,Актюбинская,сельское население,,,,7.732755954222085
2012,на 1000 родившихся,,Актюбинская,сельское население,,,,4.934464148033924
2013,на 1000 родившихся,,Актюбинская,сельское население,,,,7.3506891271056665
2014,на 1000 родившихся,,Актюбинская,сельское население,,,,3.9823008849557517
2015,на 1000 родившихся,,Актюбинская,сельское население,,,,6.173769010691161
2016,на 1000 родившихся,,Актюбинская,сельское население,,,,4.366812227074235
2017,на 1000 родившихся,,Актюбинская,сельское население,,,,5.223636957231473
2018,на 1000 родившихся,,Актюбинская,сельское население,,,,4.27
2010,на 1000 родившихся,,Алматинская,сельское население,,,,7.548494689721759
2011,на 1000 родившихся,,Алматинская,сельское население,,,,7.078265391615868
2012,на 1000 родившихся,,Алматинская,сельское население,,,,7.163771782698923
2013,на 1000 родившихся,,Алматинская,сельское население,,,,5.205194235932278
2014,на 1000 родившихся,,Алматинская,сельское население,,,,5.3208556149732615
2015,на 1000 родившихся,,Алматинская,сельское население,,,,4.649583365984903
2016,на 1000 родившихся,,Алматинская,сельское население,,,,4.310007052738814
2017,на 1000 родившихся,,Алматинская,сельское население,,,,4.860756774176221
2018,на 1000 родившихся,,Алматинская,сельское население,,,,4.19
2010,на 1000 родившихся,,Атырауская,сельское население,,,,13.582342954159591
2011,на 1000 родившихся,,Атырауская,сельское население,,,,12.18872870249017
2012,на 1000 родившихся,,Атырауская,сельское население,,,,10.787055533359966
2013,на 1000 родившихся,,Атырауская,сельское население,,,,5.115089514066496
2014,на 1000 родившихся,,Атырауская,сельское население,,,,4.247057395947094
2015,на 1000 родившихся,,Атырауская,сельское население,,,,4.58601883986118
2016,на 1000 родившихся,,Атырауская,сельское население,,,,5.0818046603867115
2017,на 1000 родившихся,,Атырауская,сельское население,,,,4.511644921351055
2018,на 1000 родившихся,,Атырауская,сельское население,,,,6.68
2010,на 1000 родившихся,,Западно-Казахстанская,сельское население,,,,10.249955044056824
2011,на 1000 родившихся,,Западно-Казахстанская,сельское население,,,,10.080645161290322
2012,на 1000 родившихся,,Западно-Казахстанская,сельское население,,,,8.441091954022989
2013,на 1000 родившихся,,Западно-Казахстанская,сельское население,,,,5.242005940940067
2014,на 1000 родившихся,,Западно-Казахстанская,сельское население,,,,4.383116883116883
2015,на 1000 родившихся,,Западно-Казахстанская,сельское население,,,,3.4746351633078527
